model,n_train,n_test,oos_r2,rmse,mae
industriousness_only,55738,13935,0.3602302353909117,0.6444911243661076,0.5093799645174255
order_standards_duty,55738,13935,0.11715366931815108,0.7570902324669959,0.6141997486047962
full_facets,55738,13935,0.373889192561386,0.6375741274220745,0.5041666066312919
